epoch,loss,class_entropy,diversity,hypo_loss,class_acc,class_loss,perplexity,adverse_loss
0,0.8071,1.0756,0.0166,0.3993,0.0000,1.3486,1.3215,0.3220
1,0.2518,1.0765,0.5747,0.1863,0.0000,1.3465,1.1396,1.2057
2,0.0927,1.0766,0.7678,0.0670,0.0000,1.3461,1.0487,1.3614
3,0.0300,1.0765,0.7261,0.0445,0.0000,1.3461,1.0321,1.3630
4,0.0154,1.0765,0.9883,0.0394,0.0000,1.3464,1.0283,1.3613
5,0.0090,1.0765,1.2382,0.0371,0.0000,1.3465,1.0266,1.3622
6,0.0056,1.0764,1.4167,0.0348,0.0000,1.3463,1.0249,1.3533
7,0.0038,1.0764,1.5145,0.0364,0.0000,1.3466,1.0260,1.3512
8,0.0026,1.0764,1.5749,0.0344,0.0000,1.3467,1.0246,1.3475
9,0.0020,1.0764,1.6170,0.0325,0.0000,1.3468,1.0232,1.3414
